val_loss	val_accuracy	loss	accuracy
1.6338	0.4065	1.8726	0.3102
1.5292	0.4527	1.5938	0.4274
1.5179	0.4551	1.5125	0.4584
1.4945	0.4675	1.4701	0.4761
1.4463	0.4844	1.4382	0.4875
1.4266	0.4923	1.4127	0.4943
1.4118	0.4997	1.3904	0.5040
1.4087	0.4988	1.3723	0.5108
1.3940	0.4995	1.3542	0.5187
1.3896	0.5108	1.3378	0.5255
